timestamp,device_id,location,temperature,humidity,vibration_level,inventory_status,stock_quantity,order_id,order_placed_date,expected_delivery_date,actual_delivery_date,supplier_id,supplier_rating,logistics_partner,shipment_status,social_media_feed,news_alert,weather_condition,system_log_message,manual_risk_label
2024-03-20 10:30:57,sensor_19,Port_B,27.69,58.31,1.79,in-stock,446,ORD3048,2024-03-08 10:30:57,2024-03-21 10:30:57,2024-03-21 10:30:57,SUP_129,3.91,DHL,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-08-30 15:14:12,sensor_39,Port_B,20.14,27.57,0.8,low,6,ORD8359,2024-08-17 15:14:12,2024-09-01 15:14:12,2024-09-01 15:14:12,SUP_126,4.82,FedEx,delivered,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-12-17 02:41:11,sensor_12,Hub_C,17.22,45.72,1.44,low,0,ORD8292,2024-12-11 02:41:11,2024-12-20 02:41:11,2024-12-17 02:41:11,SUP_185,2.44,UPS,delivered,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2025-02-21 19:06:10,sensor_24,Port_B,29.74,56.75,0.32,in-stock,107,ORD5656,2025-02-15 19:06:10,2025-02-25 19:06:10,2025-02-22 19:06:10,SUP_117,2.53,DHL,delayed,Supply chain normal,Stable market,sunny,System normal,0
2024-11-17 02:30:36,sensor_27,Port_B,22.29,49.46,1.96,in-stock,85,ORD9456,2024-11-02 02:30:36,2024-11-20 02:30:36,2024-11-17 02:30:36,SUP_103,1.45,BlueDart,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2025-04-22 15:00:30,sensor_10,Warehouse_A,29.27,33.25,1.56,in-stock,262,ORD3700,2025-04-10 15:00:30,2025-04-23 15:00:30,2025-05-02 15:00:30,SUP_141,2.12,DHL,in-transit,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2025-03-26 16:59:38,sensor_31,Hub_C,20.8,60.98,2.8,in-stock,68,ORD2311,2025-03-19 16:59:38,2025-03-31 16:59:38,2025-04-10 16:59:38,SUP_196,2.38,UPS,delayed,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-03-15 20:59:39,sensor_31,Port_B,33.38,48.62,0.34,in-stock,253,ORD4215,2024-03-08 20:59:39,2024-03-17 20:59:39,2024-03-20 20:59:39,SUP_165,2.29,FedEx,in-transit,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-01-08 13:20:58,sensor_11,Warehouse_A,27.84,59.94,3.3,in-stock,61,ORD3727,2023-12-31 13:20:58,2024-01-12 13:20:58,2024-01-08 13:20:58,SUP_187,1.14,FedEx,in-transit,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2025-04-02 11:37:36,sensor_35,Warehouse_A,25.91,31.46,0.74,in-stock,352,ORD2676,2025-03-18 11:37:36,2025-04-04 11:37:36,2025-04-03 11:37:36,SUP_133,2.97,BlueDart,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-07-29 06:38:05,sensor_24,Warehouse_A,23.8,57.68,1.32,in-stock,304,ORD2233,2024-07-24 06:38:05,2024-08-03 06:38:05,2024-07-30 06:38:05,SUP_161,3.12,UPS,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-01-24 17:44:21,sensor_16,Port_B,26.24,51.5,4.52,in-stock,90,ORD9008,2024-01-10 17:44:21,2024-01-28 17:44:21,2024-01-24 17:44:21,SUP_122,3.49,BlueDart,delivered,Supply chain normal,Stable market,sunny,System normal,0
2025-04-26 02:56:39,sensor_40,Port_B,31.26,48.77,0.29,low,31,ORD6815,2025-04-19 02:56:39,2025-05-01 02:56:39,2025-05-01 02:56:39,SUP_140,2.41,DHL,delayed,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2025-04-23 11:35:39,sensor_38,Warehouse_A,23.88,40.71,1.0,in-stock,105,ORD9773,2025-04-14 11:35:39,2025-04-25 11:35:39,2025-04-28 11:35:39,SUP_141,4.89,FedEx,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-06-22 22:20:51,sensor_3,Hub_C,36.61,56.03,0.99,in-stock,348,ORD4902,2024-06-13 22:20:51,2024-06-23 22:20:51,2024-06-23 22:20:51,SUP_181,2.09,FedEx,delayed,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-02-28 06:18:40,sensor_30,Port_B,25.69,44.39,0.2,in-stock,201,ORD9029,2024-02-17 06:18:40,2024-03-04 06:18:40,2024-03-04 06:18:40,SUP_115,1.11,BlueDart,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2025-03-31 07:20:38,sensor_20,Port_B,20.61,36.14,0.94,low,43,ORD2541,2025-03-21 07:20:38,2025-04-03 07:20:38,2025-03-31 07:20:38,SUP_164,4.96,DHL,delivered,Supply chain normal,Stable market,sunny,System normal,0
2024-01-10 00:17:05,sensor_8,Warehouse_A,29.83,43.24,0.05,low,45,ORD2353,2024-01-04 00:17:05,2024-01-14 00:17:05,2024-01-11 00:17:05,SUP_182,4.08,FedEx,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-05-21 13:54:29,sensor_9,Warehouse_A,35.38,43.11,1.12,in-stock,361,ORD8498,2024-05-16 13:54:29,2024-05-24 13:54:29,2024-05-22 13:54:29,SUP_125,3.9,DHL,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2025-03-12 00:39:37,sensor_35,Port_B,17.18,42.04,0.02,in-stock,498,ORD8019,2025-02-26 00:39:37,2025-03-16 00:39:37,2025-03-15 00:39:37,SUP_146,3.92,FedEx,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-05-22 09:54:39,sensor_23,Hub_C,26.99,45.26,0.1,in-stock,479,ORD7647,2024-05-15 09:54:39,2024-05-25 09:54:39,2024-05-24 09:54:39,SUP_157,3.56,FedEx,delivered,Supply chain normal,Stable market,sunny,System normal,0
2024-07-29 01:17:11,sensor_12,Warehouse_A,31.5,48.14,1.21,in-stock,147,ORD6224,2024-07-15 01:17:11,2024-07-31 01:17:11,2024-08-01 01:17:11,SUP_103,1.97,UPS,in-transit,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
